office_no,municipality,corporation_name,office_name,wam_office_url,homepage_url,homepage_source,homepage_confidence,instagram_url,instagram_source,instagram_confidence,search_query,search_checked_at
630,大阪市,株式会社五大,ジョリークラン,https://www.jollyclan.biz,https://www.jollyclan.biz,wam_url,high,,,,"""ジョリークラン"" ""大阪市"" 五大 就労継続支援B型 Instagram",2026-03-12T16:12:55
631,大阪市,株式会社ジー・エヌ・オー,BARI BARA　QUEST,https://www.gno-osaka.com,https://www.gno-osaka.com,wam_url,high,,,,"""BARI BARA　QUEST"" ""大阪市"" ジー・エヌ・オー 就労継続支援B型 Instagram",2026-03-12T16:12:55
632,大阪市,一般社団法人マイ・スタイル,マイ・スタイル堺筋北事業所,https://mystyle-osaka.com,https://mystyle-osaka.com,wam_url,high,,,,"""マイ・スタイル堺筋北事業所"" ""大阪市"" マイ・スタイル 就労継続支援B型 Instagram",2026-03-12T16:12:55
633,大阪市,株式会社ＢＳＳ谷町,ＢＳＳ谷町,,,,,,,,"""ＢＳＳ谷町"" ""大阪市"" ＢＳＳ谷町 就労継続支援B型 Instagram",2026-03-12T16:12:55
634,大阪市,株式会社富士グループ,ドルチェ就労継続支援,https://www.fuji-group.center,https://www.fuji-group.center,wam_url,high,,,,"""ドルチェ就労継続支援"" ""大阪市"" 富士グループ 就労継続支援B型 Instagram",2026-03-12T16:12:55
635,大阪市,株式会社ワンダーフレンズ,ワンダーフレンズ堺筋本町,,,,,,,,"""ワンダーフレンズ堺筋本町"" ""大阪市"" ワンダーフレンズ 就労継続支援B型 Instagram",2026-03-12T16:12:55
636,大阪市,株式会社シクロ,ギドン,https://cyclo-inc.jp,https://cyclo-inc.jp,wam_url,high,,,,"""ギドン"" ""大阪市"" シクロ 就労継続支援B型 Instagram",2026-03-12T16:12:55
637,大阪市,株式会社はるプラス,ハローハーモニー,https://haruplus.jimdofree.com,https://haruplus.jimdofree.com,wam_url,high,,,,"""ハローハーモニー"" ""大阪市"" はるプラス 就労継続支援B型 Instagram",2026-03-12T16:12:55
638,大阪市,株式会社Syunbiso,就労継続支援B型　しゅんびそう,,,,,,,,"""就労継続支援B型　しゅんびそう"" ""大阪市"" Syunbiso 就労継続支援B型 Instagram",2026-03-12T16:12:55
639,大阪市,有限会社エスエヌ企画,manabyCREATORS大阪天満橋,https://manaby.co.jp/location/c-temmabashi,https://manaby.co.jp/location/c-temmabashi,wam_url,high,,,,"""manabyCREATORS大阪天満橋"" ""大阪市"" 有限会社エスエヌ企画 就労継続支援B型 Instagram",2026-03-12T16:12:55
64,大阪市,浪速松楓会,就労継続支援B型　駒川てっと,,,,,,,,"""就労継続支援B型　駒川てっと"" ""大阪市"" 浪速松楓会 就労継続支援B型 Instagram",2026-03-12T16:12:55
640,大阪市,株式会社syukomu,メタゲーム本町,,,,,,,,"""メタゲーム本町"" ""大阪市"" syukomu 就労継続支援B型 Instagram",2026-03-12T16:12:55
641,大阪市,リンクアイール（株）,リンク北浜,,,,,,,,"""リンク北浜"" ""大阪市"" リンクアイール（株） 就労継続支援B型 Instagram",2026-03-12T16:12:55
642,大阪市,ｔｎｙ,ホープ,,,,,,,,"""ホープ"" ""大阪市"" ｔｎｙ 就労継続支援B型 Instagram",2026-03-12T16:12:55
643,大阪市,フォルテ合同会社,フォルテライズ就労継続支援,,,,,,,,"""フォルテライズ就労継続支援"" ""大阪市"" フォルテ 就労継続支援B型 Instagram",2026-03-12T16:12:55
